candidate,county,district name,party,race name,votes
Brian Dahle,Butte,District 1,REP,State Assembly,"4,141"
Caleen Sisk,Lassen,District 1,DEM,State Assembly,"1,531"
Brian Dahle,Lassen,District 1,REP,State Assembly,"6,454"
Caleen Sisk,Modoc,District 1,DEM,State Assembly,663
Brian Dahle,Modoc,District 1,REP,State Assembly,"2,592"
Caleen Sisk,Nevada,District 1,DEM,State Assembly,"12,649"
Brian Dahle,Nevada,District 1,REP,State Assembly,"13,569"
Caleen Sisk,Placer,District 1,DEM,State Assembly,"5,707"
Brian Dahle,Placer,District 1,REP,State Assembly,"8,306"
Caleen Sisk,Plumas,District 1,DEM,State Assembly,"2,798"
Brian Dahle,Plumas,District 1,REP,State Assembly,"5,299"
Caleen Sisk,Shasta,District 1,DEM,State Assembly,"10,944"
Brian Dahle,Shasta,District 1,REP,State Assembly,"31,096"
Caleen Sisk,Sierra,District 1,DEM,State Assembly,556
Brian Dahle,Sierra,District 1,REP,State Assembly,"1,047"
Caleen Sisk,Siskiyou,District 1,DEM,State Assembly,"5,027"
Brian Dahle,Siskiyou,District 1,REP,State Assembly,"8,253"
Jim Wood,Districtwide,District 2,DEM,State Assembly,"73,984"
Matt Heath,Districtwide,District 2,REP,State Assembly,"36,476"
Jim Wood,Del Norte,District 2,DEM,State Assembly,"3,058"
Matt Heath,Del Norte,District 2,REP,State Assembly,"3,924"
Jim Wood,Humboldt,District 2,DEM,State Assembly,"18,603"
Matt Heath,Humboldt,District 2,REP,State Assembly,"10,172"
Jim Wood,Mendocino,District 2,DEM,State Assembly,"10,262"
Matt Heath,Mendocino,District 2,REP,State Assembly,"5,044"
Jim Wood,Sonoma,District 2,DEM,State Assembly,"40,017"
Matt Heath,Sonoma,District 2,REP,State Assembly,"15,085"
Jim Wood,Trinity,District 2,DEM,State Assembly,"2,044"
Matt Heath,Trinity,District 2,REP,State Assembly,"2,251"
Sonia Aery,Districtwide,District 3,DEM,State Assembly,"43,706"
James Gallagher,Districtwide,District 3,REP,State Assembly,"66,945"
Sonia Aery,Butte,District 3,DEM,State Assembly,"29,173"
James Gallagher,Butte,District 3,REP,State Assembly,"33,847"
Sonia Aery,Colusa,District 3,DEM,State Assembly,741
James Gallagher,Colusa,District 3,REP,State Assembly,"1,827"
Sonia Aery,Glenn,District 3,DEM,State Assembly,"1,154"
James Gallagher,Glenn,District 3,REP,State Assembly,"2,875"
Sonia Aery,Sutter,District 3,DEM,State Assembly,"5,161"
James Gallagher,Sutter,District 3,REP,State Assembly,"11,078"
Sonia Aery,Tehama,District 3,DEM,State Assembly,"4,060"
James Gallagher,Tehama,District 3,REP,State Assembly,"10,122"
Sonia Aery,Yuba,District 3,DEM,State Assembly,"3,417"
James Gallagher,Yuba,District 3,REP,State Assembly,"7,196"
Cecilia Aguiar-Curry,Districtwide,District 4,DEM,State Assembly,"66,306"
Brandon Z. Nelson,Districtwide,District 4,LIB,State Assembly,"24,097"
Cecilia Aguiar-Curry,Colusa,District 4,DEM,State Assembly,"1,222"
Brandon Z. Nelson,Colusa,District 4,LIB,State Assembly,794
Cecilia Aguiar-Curry,Lake,District 4,DEM,State Assembly,"8,275"
Brandon Z. Nelson,Lake,District 4,LIB,State Assembly,"3,573"
Cecilia Aguiar-Curry,Napa,District 4,DEM,State Assembly,"14,161"
Brandon Z. Nelson,Napa,District 4,LIB,State Assembly,"5,766"
Cecilia Aguiar-Curry,Solano,District 4,DEM,State Assembly,"5,532"
Brandon Z. Nelson,Solano,District 4,LIB,State Assembly,"3,904"
Cecilia Aguiar-Curry,Sonoma,District 4,DEM,State Assembly,"12,295"
Brandon Z. Nelson,Sonoma,District 4,LIB,State Assembly,"3,131"
Cecilia Aguiar-Curry,Yolo,District 4,DEM,State Assembly,"24,821"
Brandon Z. Nelson,Yolo,District 4,LIB,State Assembly,"6,929"
Carla J. Neal,Districtwide,District 5,DEM,State Assembly,"51,803"
Frank Bigelow,Districtwide,District 5,REP,State Assembly,"79,154"
Carla J. Neal,Alpine,District 5,DEM,State Assembly,356
Frank Bigelow,Alpine,District 5,REP,State Assembly,222
Carla J. Neal,Amador,District 5,DEM,State Assembly,"5,400"
Frank Bigelow,Amador,District 5,REP,State Assembly,"9,862"
Carla J. Neal,Calaveras,District 5,DEM,State Assembly,"5,846"
Frank Bigelow,Calaveras,District 5,REP,State Assembly,"10,055"
Carla J. Neal,El Dorado,District 5,DEM,State Assembly,"16,637"
Frank Bigelow,El Dorado,District 5,REP,State Assembly,"22,917"
Carla J. Neal,Madera,District 5,DEM,State Assembly,"10,025"
Frank Bigelow,Madera,District 5,REP,State Assembly,"17,379"
Carla J. Neal,Mariposa,District 5,DEM,State Assembly,"2,519"
Frank Bigelow,Mariposa,District 5,REP,State Assembly,"4,142"
Carla J. Neal,Mono,District 5,DEM,State Assembly,"2,314"
Frank Bigelow,Mono,District 5,REP,State Assembly,"1,889"
Carla J. Neal,Placer,District 5,DEM,State Assembly,"2,244"
Frank Bigelow,Placer,District 5,REP,State Assembly,"2,902"
Carla J. Neal,Tuolumne,District 5,DEM,State Assembly,"6,462"
Frank Bigelow,Tuolumne,District 5,REP,State Assembly,"9,786"
"Jacalyn ""Jackie"" Smith",Districtwide,District 6,DEM,State Assembly,"49,241"
Kevin Kiley,Districtwide,District 6,REP,State Assembly,"71,335"
"Jacalyn ""Jackie"" Smith",El Dorado,District 6,DEM,State Assembly,"9,002"
Kevin Kiley,El Dorado,District 6,REP,State Assembly,"14,031"
"Jacalyn ""Jackie"" Smith",Placer,District 6,DEM,State Assembly,"29,795"
Kevin Kiley,Placer,District 6,REP,State Assembly,"43,892"
"Jacalyn ""Jackie"" Smith",Sacramento,District 6,DEM,State Assembly,"10,444"
Kevin Kiley,Sacramento,District 6,REP,State Assembly,"13,412"
Kevin McCarty,Districtwide,District 7,DEM,State Assembly,"37,669"
Scott Schmidt,Districtwide,District 7,REP,State Assembly,"18,185"
Kevin McCarty,Sacramento,District 7,DEM,State Assembly,"31,569"
Scott Schmidt,Sacramento,District 7,REP,State Assembly,"14,597"
Kevin McCarty,Yolo,District 7,DEM,State Assembly,"6,100"
Scott Schmidt,Yolo,District 7,REP,State Assembly,"3,588"
Jim Cooper,Districtwide,District 9,DEM,State Assembly,"35,460"
Harry He,Districtwide,District 9,DEM,State Assembly,"15,696"
Jim Cooper,Sacramento,District 9,DEM,State Assembly,"29,005"
Harry He,Sacramento,District 9,DEM,State Assembly,"12,510"
Jim Cooper,San Joaquin,District 9,DEM,State Assembly,"6,455"
Harry He,San Joaquin,District 9,DEM,State Assembly,"3,186"
Marc Levine,Districtwide,District 10,DEM,State Assembly,"83,006"
Dan Monte,Districtwide,District 10,DEM,State Assembly,"31,756"
Marc Levine,Marin,District 10,DEM,State Assembly,"49,325"
Dan Monte,Marin,District 10,DEM,State Assembly,"16,308"
Marc Levine,Sonoma,District 10,DEM,State Assembly,"33,681"
Dan Monte,Sonoma,District 10,DEM,State Assembly,"15,448"
Jim Frazier,Districtwide,District 11,DEM,State Assembly,"66,757"
Lisa Romero,Districtwide,District 11,REP,State Assembly,"44,349"
Jim Frazier,Contra Costa,District 11,DEM,State Assembly,"25,723"
Lisa Romero,Contra Costa,District 11,REP,State Assembly,"16,354"
Jim Frazier,Sacramento,District 11,DEM,State Assembly,327
Lisa Romero,Sacramento,District 11,REP,State Assembly,305
Jim Frazier,Solano,District 11,DEM,State Assembly,"40,707"
Lisa Romero,Solano,District 11,REP,State Assembly,"27,690"
Robert D. Chase,Districtwide,District 12,DEM,State Assembly,"31,782"
Heath Flora,Districtwide,District 12,REP,State Assembly,"50,944"
Robert D. Chase,San Joaquin,District 12,DEM,State Assembly,"10,867"
Heath Flora,San Joaquin,District 12,REP,State Assembly,"18,649"
Robert D. Chase,Stanislaus,District 12,DEM,State Assembly,"20,915"
Heath Flora,Stanislaus,District 12,REP,State Assembly,"32,295"
Tim Grayson,Districtwide,District 14,DEM,State Assembly,"72,049"
Aasim Yahya,Districtwide,District 14,DEM,State Assembly,"26,163"
Tim Grayson,Contra Costa,District 14,DEM,State Assembly,"43,940"
Aasim Yahya,Contra Costa,District 14,DEM,State Assembly,"14,977"
Tim Grayson,Solano,District 14,DEM,State Assembly,"28,109"
Aasim Yahya,Solano,District 14,DEM,State Assembly,"11,186"
Jovanka Beckles,Districtwide,District 15,DEM,State Assembly,"40,053"
Buffy Wicks,Districtwide,District 15,DEM,State Assembly,"50,986"
Jovanka Beckles,Alameda,District 15,DEM,State Assembly,"22,205"
Buffy Wicks,Alameda,District 15,DEM,State Assembly,"28,839"
Jovanka Beckles,Contra Costa,District 15,DEM,State Assembly,"17,848"
Buffy Wicks,Contra Costa,District 15,DEM,State Assembly,"22,147"
Rebecca Bauer-Kahan,Districtwide,District 16,DEM,State Assembly,"56,627"
Catharine Baker,Districtwide,District 16,REP,State Assembly,"59,520"
Rebecca Bauer-Kahan,Alameda,District 16,DEM,State Assembly,"19,567"
Catharine Baker,Alameda,District 16,REP,State Assembly,"21,669"
Rebecca Bauer-Kahan,Contra Costa,District 16,DEM,State Assembly,"37,060"
Catharine Baker,Contra Costa,District 16,REP,State Assembly,"37,851"
Phil Ting,Districtwide,District 19,DEM,State Assembly,"87,949"
Keith Bogdon,Districtwide,District 19,REP,State Assembly,"19,105"
Phil Ting,San Francisco,District 19,DEM,State Assembly,"78,401"
Keith Bogdon,San Francisco,District 19,REP,State Assembly,"16,308"
Phil Ting,San Mateo,District 19,DEM,State Assembly,"9,548"
Keith Bogdon,San Mateo,District 19,REP,State Assembly,"2,797"
Adam C. Gray,Districtwide,District 21,DEM,State Assembly,"37,134"
Justin Ryan Quigley,Districtwide,District 21,LIB,State Assembly,"16,416"
Adam C. Gray,Merced,District 21,DEM,State Assembly,"20,836"
Justin Ryan Quigley,Merced,District 21,LIB,State Assembly,"9,373"
Adam C. Gray,Stanislaus,District 21,DEM,State Assembly,"16,298"
Justin Ryan Quigley,Stanislaus,District 21,LIB,State Assembly,"7,043"
Aileen Rizo,Districtwide,District 23,DEM,State Assembly,"39,033"
Jim Patterson,Districtwide,District 23,REP,State Assembly,"65,138"
Aileen Rizo,Fresno,District 23,DEM,State Assembly,"38,495"
Jim Patterson,Fresno,District 23,REP,State Assembly,"64,251"
Aileen Rizo,Tulare,District 23,DEM,State Assembly,538
Jim Patterson,Tulare,District 23,REP,State Assembly,887
Marc Berman,Districtwide,District 24,DEM,State Assembly,"57,647"
Alex Glew,Districtwide,District 24,REP,State Assembly,"19,773"
Marc Berman,San Mateo,District 24,DEM,State Assembly,"10,866"
Alex Glew,San Mateo,District 24,REP,State Assembly,"3,946"
Marc Berman,Santa Clara,District 24,DEM,State Assembly,"46,781"
Alex Glew,Santa Clara,District 24,REP,State Assembly,"15,827"
Kansen Chu,Districtwide,District 25,DEM,State Assembly,"49,137"
Bob Brunton,Districtwide,District 25,REP,State Assembly,"19,463"
Kansen Chu,Alameda,District 25,DEM,State Assembly,"14,098"
Bob Brunton,Alameda,District 25,REP,State Assembly,"5,391"
Kansen Chu,Santa Clara,District 25,DEM,State Assembly,"35,039"
Bob Brunton,Santa Clara,District 25,REP,State Assembly,"14,072"
Jose Sigala,Districtwide,District 26,DEM,State Assembly,"24,074"
Devon Mathis,Districtwide,District 26,REP,State Assembly,"37,706"
Jose Sigala,Inyo,District 26,DEM,State Assembly,"2,089"
Devon Mathis,Inyo,District 26,REP,State Assembly,"2,652"
Jose Sigala,Kern,District 26,DEM,State Assembly,"1,152"
Devon Mathis,Kern,District 26,REP,State Assembly,"3,006"
Jose Sigala,Tulare,District 26,DEM,State Assembly,"20,833"
Devon Mathis,Tulare,District 26,REP,State Assembly,"32,048"
Mark Stone,Districtwide,District 29,DEM,State Assembly,"76,456"
Vicki L. Nohrden,Districtwide,District 29,REP,State Assembly,"33,968"
Mark Stone,Monterey,District 29,DEM,State Assembly,"27,488"
Vicki L. Nohrden,Monterey,District 29,REP,State Assembly,"15,185"
Mark Stone,Santa Clara,District 29,DEM,State Assembly,"13,149"
Vicki L. Nohrden,Santa Clara,District 29,REP,State Assembly,"7,321"
Mark Stone,Santa Cruz,District 29,DEM,State Assembly,"35,819"
Vicki L. Nohrden,Santa Cruz,District 29,REP,State Assembly,"11,462"
Robert Rivas,Districtwide,District 30,DEM,State Assembly,"42,692"
Neil G. Kitchens,Districtwide,District 30,REP,State Assembly,"23,706"
Robert Rivas,Monterey,District 30,DEM,State Assembly,"17,678"
Neil G. Kitchens,Monterey,District 30,REP,State Assembly,"8,750"
Robert Rivas,San Benito,District 30,DEM,State Assembly,"6,611"
Neil G. Kitchens,San Benito,District 30,REP,State Assembly,"4,583"
Robert Rivas,Santa Clara,District 30,DEM,State Assembly,"13,432"
Neil G. Kitchens,Santa Clara,District 30,REP,State Assembly,"8,764"
Robert Rivas,Santa Cruz,District 30,DEM,State Assembly,"4,971"
Neil G. Kitchens,Santa Cruz,District 30,REP,State Assembly,"1,609"
Rudy Salas,Districtwide,District 32,DEM,State Assembly,"21,938"
Justin Mendes,Districtwide,District 32,REP,State Assembly,"20,051"
Rudy Salas,Kern,District 32,DEM,State Assembly,"14,218"
Justin Mendes,Kern,District 32,REP,State Assembly,"7,997"
Rudy Salas,Kings,District 32,DEM,State Assembly,"7,720"
Justin Mendes,Kings,District 32,REP,State Assembly,"12,054"
Bill Ostrander,Districtwide,District 35,DEM,State Assembly,"45,046"
Jordan Cunningham,Districtwide,District 35,REP,State Assembly,"63,901"
Bill Ostrander,San Luis Obispo,District 35,DEM,State Assembly,"34,162"
Jordan Cunningham,San Luis Obispo,District 35,REP,State Assembly,"44,939"
Bill Ostrander,Santa Barbara,District 35,DEM,State Assembly,"10,884"
Jordan Cunningham,Santa Barbara,District 35,REP,State Assembly,"18,962"
Steve Fox,Districtwide,District 36,DEM,State Assembly,"36,366"
Tom Lackey,Districtwide,District 36,REP,State Assembly,"46,235"
Steve Fox,Kern,District 36,DEM,State Assembly,"2,370"
Tom Lackey,Kern,District 36,REP,State Assembly,"4,861"
Steve Fox,Los Angeles,District 36,DEM,State Assembly,"32,805"
Tom Lackey,Los Angeles,District 36,REP,State Assembly,"38,378"
Steve Fox,San Bernardino,District 36,DEM,State Assembly,"1,191"
Tom Lackey,San Bernardino,District 36,REP,State Assembly,"2,996"
S. Monique LimÃ³n,Districtwide,District 37,DEM,State Assembly,"75,040"
David L. Norrdin,Districtwide,District 37,DEM,State Assembly,"20,220"
S. Monique Limón,San Luis Obispo,District 37,DEM,State Assembly,0
David L. Norrdin,San Luis Obispo,District 37,DEM,State Assembly,0
S. Monique Limón,Santa Barbara,District 37,DEM,State Assembly,"40,289"
David L. Norrdin,Santa Barbara,District 37,DEM,State Assembly,"7,805"
S. Monique Limón,Ventura,District 37,DEM,State Assembly,"34,751"
David L. Norrdin,Ventura,District 37,DEM,State Assembly,"12,415"
Christy Smith,Districtwide,District 38,DEM,State Assembly,"63,222"
Dante Acosta,Districtwide,District 38,REP,State Assembly,"64,444"
Christy Smith,Los Angeles,District 38,DEM,State Assembly,"46,477"
Dante Acosta,Los Angeles,District 38,REP,State Assembly,"44,886"
Christy Smith,Ventura,District 38,DEM,State Assembly,"16,745"
Dante Acosta,Ventura,District 38,REP,State Assembly,"19,558"
Chris Holden,Districtwide,District 41,DEM,State Assembly,"74,473"
Alan S. Reynolds,Districtwide,District 41,NPP,State Assembly,"42,729"
Chris Holden,Los Angeles,District 41,DEM,State Assembly,"64,535"
Alan S. Reynolds,Los Angeles,District 41,NPP,State Assembly,"31,095"
Chris Holden,San Bernardino,District 41,DEM,State Assembly,"9,938"
Alan S. Reynolds,San Bernardino,District 41,NPP,State Assembly,"11,634"
DeniAntionette Mazingo,Districtwide,District 42,DEM,State Assembly,"36,905"
Chad Mayes,Districtwide,District 42,REP,State Assembly,"49,428"
DeniAntionette Mazingo,Riverside,District 42,DEM,State Assembly,"28,384"
Chad Mayes,Riverside,District 42,REP,State Assembly,"33,308"
DeniAntionette Mazingo,San Bernardino,District 42,DEM,State Assembly,"8,521"
Chad Mayes,San Bernardino,District 42,REP,State Assembly,"16,120"
Jacqui Irwin,Districtwide,District 44,DEM,State Assembly,"58,606"
Ronda Baldwin-Kennedy,Districtwide,District 44,REP,State Assembly,"45,231"
Jacqui Irwin,Los Angeles,District 44,DEM,State Assembly,"1,626"
Ronda Baldwin-Kennedy,Los Angeles,District 44,REP,State Assembly,"1,501"
Jacqui Irwin,Ventura,District 44,DEM,State Assembly,"56,980"
Ronda Baldwin-Kennedy,Ventura,District 44,REP,State Assembly,"43,730"
Jesse Gabriel,Districtwide,District 45,DEM,State Assembly,"69,438"
Justin M. Clark,Districtwide,District 45,REP,State Assembly,"33,348"
Jesse Gabriel,Los Angeles,District 45,DEM,State Assembly,"69,027"
Justin M. Clark,Los Angeles,District 45,REP,State Assembly,"33,020"
Jesse Gabriel,Ventura,District 45,DEM,State Assembly,411
Justin M. Clark,Ventura,District 45,REP,State Assembly,328
Freddie Rodriguez,Districtwide,District 52,DEM,State Assembly,"40,509"
Toni Holle,Districtwide,District 52,REP,State Assembly,"20,177"
Freddie Rodriguez,Los Angeles,District 52,DEM,State Assembly,"14,994"
Toni Holle,Los Angeles,District 52,REP,State Assembly,"4,896"
Freddie Rodriguez,San Bernardino,District 52,DEM,State Assembly,"25,515"
Toni Holle,San Bernardino,District 52,REP,State Assembly,"15,281"
Gregg D. Fritchle,Districtwide,District 55,DEM,State Assembly,"43,468"
Phillip Chen,Districtwide,District 55,REP,State Assembly,"57,929"
Gregg D. Fritchle,Los Angeles,District 55,DEM,State Assembly,"15,728"
Phillip Chen,Los Angeles,District 55,REP,State Assembly,"15,263"
Gregg D. Fritchle,Orange,District 55,DEM,State Assembly,"21,203"
Phillip Chen,Orange,District 55,REP,State Assembly,"34,551"
Gregg D. Fritchle,San Bernardino,District 55,DEM,State Assembly,"6,537"
Phillip Chen,San Bernardino,District 55,REP,State Assembly,"8,115"
Eduardo Garcia,Districtwide,District 56,DEM,State Assembly,"30,065"
Jeff Gonzalez,Districtwide,District 56,REP,State Assembly,"18,444"
Eduardo Garcia,Imperial,District 56,DEM,State Assembly,"13,163"
Jeff Gonzalez,Imperial,District 56,REP,State Assembly,"6,975"
Eduardo Garcia,Riverside,District 56,DEM,State Assembly,"16,902"
Jeff Gonzalez,Riverside,District 56,REP,State Assembly,"11,469"
James Elia,Districtwide,District 71,DEM,State Assembly,"36,228"
Randy Voepel,Districtwide,District 71,REP,State Assembly,"61,597"
James Elia,Riverside,District 71,DEM,State Assembly,"2,305"
Randy Voepel,Riverside,District 71,REP,State Assembly,"4,360"
James Elia,San Diego,District 71,DEM,State Assembly,"33,923"
Randy Voepel,San Diego,District 71,REP,State Assembly,"57,237"
Alan Geraci,Districtwide,District 75,DEM,State Assembly,"39,112"
Marie Waldron,Districtwide,District 75,REP,State Assembly,"55,923"
Alan Geraci,Riverside,District 75,DEM,State Assembly,"7,525"
Marie Waldron,Riverside,District 75,REP,State Assembly,"12,741"
Alan Geraci,San Diego,District 75,DEM,State Assembly,"31,587"
Marie Waldron,San Diego,District 75,REP,State Assembly,"43,182"
